date,imdbId,title,originalTitle,medium,place,with,rewatch,note,VF,comment,year,runtime,country,directors,actors,genres,femaleDirector
2022-07-28,tt8633464,After Yang,After Yang,Cinéma mk2 Bibliothèque ,Paris,,,***,,,2022,96,États-Unis,Kogonada,"Colin Farrell,Jodie Turner-Smith,Malea Emma Tjandrawidjaja,Justin H. Min,Ritchie Coster,Sarita Choudhury,Clifton Collins Jr.,Haley Lu Richardson,Orlagh Cassidy,Ava DeMary,Lee Wong,Brett Dier,Eve Lindley,Adeline Kerns,Ansley Kerns,Nana Mensah,An Li Bogan,Deborah Hedwall,Katie Honaker,Alberto Del Saz,Jesse Kovarsky,Marcella Lewis,Maria Majoli,Toni Melaas,Mina Nishimura,Lily Ockwell,JC Shuster,Megan Williams,Taylor Ortega,Jae Kim","Drame,Science-Fiction",
2022-08-04,tt1490017,La Grande Aventure LEGO,The Lego Movie,Piratage ,Paris,Mathias,X,****,,,2014,100,États-Unis,"Phil Lord,Christopher Miller","Chris Pratt,Will Ferrell,Elizabeth Banks,Will Arnett,Nick Offerman,Alison Brie,Charlie Day,Liam Neeson,Morgan Freeman,Channing Tatum,Jonah Hill,Cobie Smulders,Jadon Sand,Anthony Daniels,Billy Dee Williams,Keith Ferguson,Shaquille O'Neal,Will Forte,Dave Franco,Jake Johnson,Keegan-Michael Key,Todd Hansen,David Burrows,Chris McKay,Jorma Taccone,Christopher Miller,Chris Romano,Kelly Lafferty,Graham Miller,Amanda Farinos,Craig Berry,Doug Nicholas,Chris Paluszek,Melissa Sturm,Leiki Veskimets","Aventure,Animation,Comédie,Familial,Fantastique",
2022-08-16,tt0069460,Le Viager,Le Viager,TV,Arras,Papa,X,***,,,1972,101,France,Pierre Tchernia,"Michel Serrault,Claude Brasseur,Rosy Varte,Odette Laure,Jean-Pierre Darras,Michel Galabru,Yves Robert,Jean Richard,René Aranda,Yves Barsacq,Robert Berri,Jean Franval,Jacques Hilling,Madeleine Clervanne,Noël Roquevert,Jacques Bodoin,Gérard Depardieu,Bernard Lavalette,Claude Legros,Jean Carmet,Philippe Castelli,Raoul Curet,Gabriel Jabbour,Roger Lumont,Antoinette Moya,Jacques Préboist,Edmond Ardisson,Joëlle Bernard,Béatrice Chatelier,Elisabeth Dulac,Henri-Jacques Huet,Alain Lionel,Jean Michaud,André Randel,René Renot,Guy Verda",Comédie,
2022-08-17,tt19858178,Les vieux fourneaux 2 : Bons pour l'asile,Les vieux fourneaux 2 : Bons pour l'asile,Cinéma Mégarama,Arras ,Papa,,***,,,2022,97,France,Christophe Duthuron,"Pierre Richard,Eddy Mitchell,Bernard Le Coq,Alice Pol,Claire Nadeau,Myriam Boyer,Mohamad Malas",Comédie,
2022-08-20,tt14962428,L'Année du requin,L'Année du requin,Cinéma mk2 Parnasse,Paris,,,***,,,2022,87,France,"Ludovic Boukherma,Zoran Boukherma","Marina Foïs,Kad Merad,Jean-Pascal Zadi,Christine Gautier,Ludovic Torrent,Philippe Prévost,Jean Boronat,Jean-Jacques Bernede,Patrice Séraphine,Anwar el Kadi,Joël Artigues,Paul Alleaume,Quentin Alleaume,Loïc Richard,Floriane Labaye,Alain Boitel,Hans Schiller,Uwe Lucking,Vincent Varenne,Robin Hadida,Christian Boukherma,Hugo Simoen,Dimitri Gontran,Rémi Garbaye,Gabin Milhet,Eric Badets,Mitsol Montet,Yadicone Bassene",Action,
2022-08-21,tt10954984,Nope,Nope,Cinéma Pathé Wepler,Paris,Jonathan,,****,,,2022,130,États-Unis,Jordan Peele,"Daniel Kaluuya,Keke Palmer,Brandon Perea,Steven Yeun,Michael Wincott,Wrenn Schmidt,Barbie Ferreira,Terry Notary,Devon Graye,Donna Mills,Oz Perkins,Eddie Jemison,Keith David,Jacob Kim,Sophia Coto,Jennifer Lafleur,Andrew Patrick Ralston,Lincoln Lambert,Pierce Kang,Roman Gross,Ryan W. Garcia,Conor Kawalski,Alex Hyde-White,Evan Shafran,Mark Casimir Dyniewicz Jr.,Hetty Chang,Liza Treyger,Courtney Stephens,Caden J. Lovgren,Malcolm Jae O'Shea","Horreur,Mystère,Science-Fiction,Thriller",
2022-08-21,tt5848272,Ralph 2.0,Ralph Breaks the Internet,Piratage,Paris,Mathias,X,***,,,2018,112,États-Unis,"Rich Moore,Phil Johnston","John C. Reilly,Sarah Silverman,Gal Gadot,Taraji P. Henson,Jack McBrayer,Jane Lynch,Alan Tudyk,Alfred Molina,Ed O'Neill,Melissa Villaseñor,Bill Hader,John DiMaggio,Irene Bedard,Kristen Bell,Auli'i Cravalho,Jodi Benson,Jennifer Hale,Kate Higgins,Linda Larkin,Kelly Macdonald,Idina Menzel,Mandy Moore,Paige O'Hara,Pamela Ribon,Anika Noni Rose,Ming-Na Wen,Roger Craig Smith,Maurice LaMarche,Brad Garrett,Anthony Daniels,Tim Allen,Vin Diesel,Sean Giambrone,Jaboukie Young-White,Flula Borg,Ali Wong,Timothy Simons,Glozell Green,Hamish Blake,Rich Moore,Phil Johnston,Colleen Ballinger,Dani Fernandez,Tiffany Herrera,Horatio Sanz,Rebecca Wisocky,Sam Richardson,Katie Lowes,Alex Moffat,June Squibb,Della Saba,Michaela Zee,Jamie Elman,Ana Ortiz,Dianna Agron,Jason Mantzoukas,Raymond S. Persi,Fuschia!,Corey Burton,Jason Hightower,Brian Curless,Ann Barry Colgin,Viveca Paulin,Michael Giacchino,Kevin Deters,Jeremy Milton,Jesse Averna,Nicole Scherzinger,Brittany Kikuchi,Olivier Bénard,Ben McKee,Daniel Platzman,Dan Reynolds,Wayne Sermon,Mark Rhino Smith,Kent Boyd,Rachel Crow,Jenica Bergere,John Lavelle,Josie Trinidad,Ruth Strother,Elise Aliberti,Maddix Robinson,Bradford Simonsen,Fabienne Rawley","Familial,Animation,Comédie,Aventure",
2022-08-22,tt0114709,Toy Story,Toy Story,Piratage ,Paris,Mathias,,****,,,1995,81,États-Unis,John Lasseter,"Tom Hanks,Tim Allen,Don Rickles,Jim Varney,Wallace Shawn,John Ratzenberger,Annie Potts,John Morris,Erik von Detten,Laurie Metcalf,R. Lee Ermey,Sarah Freeman,Penn Jillette,Jack Angel,Spencer Aste,Greg Berg,Lisa Bradley,Kendall Cunningham,Debi Derryberry,Cody Dorkin,Bill Farmer,Craig Good,Gregory Grudt,Danielle Judovits,Sam Lasseter,Brittany Levenbrown,Sherry Lynn,Scott McAfee,Mickie McGowan,Ryan O'Donohue,Jeff Pidgeon,Patrick Pinney,Phil Proctor,Jan Rabson,Joe Ranft,Andrew Stanton,Shane Sweet,Nathan Lane,John Lasseter,Ernie Sabella,Jonathan Benair,Anthony Burch","Animation,Aventure,Familial,Comédie",
2022-08-23,tt14810692,Escape From Mogadishu,모가디슈,Cinéma Club de l'Étoile,Paris,,,****,,Unknown Movies Summer Camp,2021,121,Corée du Sud,Ryoo Seung-wan,"Kim Yoon-seok,Jo In-sung,Heo Joon-ho,Kim So-jin,Jeong Man-sik,Koo Kyo-hwan,Kim Jae-hwa,Park Kyung-hye,Park Myung-shin,Han Chul-woo,Joo Bo-bi,Ahn Se-ho,Lee Jin-hee,Yoon Kyung-ho","Guerre,Action,Thriller,Drame",
2022-08-24,tt0086276,Siège,Siege,Cinéma Club de l'Étoile,Paris,,,***,,Unknown Movies Summer Camp,1983,93,Canada,"Paul Donovan,Maura O'Connell","Tom Nardini,Brenda Bazinet,Daryl Haney,Terry-David Després,Jack Blum,Keith Knight,Doug Lennox,Jeff Pustil,Fred Wadden,Gary Dempster,Dennis O'Connor,Richard Collins,Alison Outhit,Tricia Fish,Vicky Price,Mike MacKinnon,Beth Lachance,Joseph Rutten,Dug Rotstein,Ted Germaine,Barbara Jones,Patricia Vroom,Alan MacGillivray,Kevin Jollimore,John D'Arte,Glenn Wadman,Carolyn Van Gurp","Thriller,Action,Crime",X
2022-08-25,tt0299556,Bloody Mallory,Bloody Mallory,Cinéma Club de l'Étoile,Paris,Youssr,,**,,Unknown Movies Summer Camp,2002,94,France,Julien Magnat,"Olivia Bonamy,Adrià Collado,Jeffrey Ribier,Valentina Vargas,Thylda Barès,Julien Boisselier,Dominique Frot,Laurent Spielvogel,Thierry Perkins-Lyautey","Fantastique,Horreur,Action,Comédie,Thriller,Science-Fiction",
2022-08-26,tt4935418,Baskın: Karabasan,Baskın: Karabasan,Cinéma Club de l'Étoile,Paris,,,**,,Unknown Movies Summer Camp,2015,97,Turquie,Can Evrenol,"Muharrem Bayrak,Mehmet Cerrahoglu,Fatih Dokgöz,Görkem Kasal,Sabahattin Yakut,Ergun Kuyucu,Şevket Süha Tezel",Horreur,
2022-08-27,tt11087960,Un monde,Un monde,Cinéma Club de l'Étoile,Paris,Oscar,,****,,Unknown Movies Summer Camp,2021,72,Belgique,Laura Wandel,"Maya Vanderbeque,Günter Duret,Karim Leklou,Laura Verlinden,Thao Maerten,Lena Girard Voss,Simon Caudry,James Seguy,Naël Ammama,Emile Salamone,Sandrine Blancke,Monia Douieb,Sophie Leboutte,Kylian Decorne,Anne-Pascale Clairembourg,Jean-François Ravagnan,Marie-Christine Georges",Drame,X
2022-08-28,tt20225374,Vesper Chronicles,Vesper,Cinéma Gaumont Parnasse,Paris,"Théo,Damien",,****,,,2022,114,Belgique,"Kristina Buozyte,Bruno Samper","Raffiella Chapman,Eddie Marsan,Rosy McEwen,Richard Brake,Melanie Gaydos,Edmund Dehn,Matvej Buravkov,Marijus Demiskis,Markas Eimontas,Titas Rukas,Markas Sagaitis","Science-Fiction,Drame,Aventure",X
2022-08-28,tt12873562,Le Bal de l'Enfer,The Invitation,Cinéma Pathé Alésia,Paris,Julien,,*,,,2022,105,États-Unis,Jessica M. Thompson,"Nathalie Emmanuel,Thomas Doherty,Stephanie Corneliussen,Alana Boden,Hugh Skinner,Kata Sarbó,Scott Alexander Young,Virág Bárány,Sean Pertwee,Elizabeth Counsell,Courtney Taylor,Jeremy Wheeler,Carol Ann Crawford,Christine Grace Szarkó","Horreur,Thriller",X
