date,imdbId,title,originalTitle,medium,place,with,rewatch,note,VF,comment,year,runtime,country,directors,actors,genres,femaleDirector
2022-09-17,tt4593060,Pinocchio,Pinocchio,Piratage,Paris,,,**,,,2022,111,États-Unis,Robert Zemeckis,"Benjamin Evan Ainsworth,Tom Hanks,Joseph Gordon-Levitt,Luke Evans,Cynthia Erivo,Keegan-Michael Key,Lorraine Bracco,Kyanne Lamaya,Angus Wright,Jamie Demetriou,Jaquita Ta'le,Lewin Lloyd,Giuseppe Battiston,Sheila Atim,Hannah Flynn","Fantastique,Aventure,Familial",
2022-09-18,tt19719940,Rodéo,Rodéo,Cinéma Gaumont Parnasse,Paris,,,***,,,2022,105,France,Lola Quivoron,"Julie Ledru,Louis Sotton,Junior Correia,Ahmed Hamdi,Antonia Buresi,Mohamed Bettahar,Dave Nsaman Okebwan,Yanis Lafki,Cody Schroeder,Mustapha Dianka,Chris Makodi,Gianni Caira,Quentin Arizzi,Brice Straehli,Sébastien Schroeder",Drame,X
2022-09-19,tt0073195,Les Dents de la mer,Jaws,Cinéma Pathé La Villette,Paris,,X,****,,IMAX,1975,124,États-Unis,Steven Spielberg,"Roy Scheider,Robert Shaw,Richard Dreyfuss,Murray Hamilton,Lorraine Gary,Chris Rebello,Jay Mello,Jeffrey Kramer,Carl Gottlieb,Susan Backlinie,Jonathan Filley,Lee Fierro,Jeffrey Voorhees,Craig Kingsbury,Phil Murray,Fritzi Jane Courtney,Belle McDonald,Ted Grossman,Robert Nevin,Peter Benchley,Dorothy Fielding,David Engelbach,Joseph Oliveira,Beverly Powers,Ayn Ruymen,Christopher Sands,Rex Trailer,Joe La Creta,Denise Cheshire,Steven Spielberg","Horreur,Thriller,Aventure",
2022-09-21,tt0499549,Avatar,Avatar,Cinéma Le Grand Rex,Paris,,X,****,,Grand Large,2009,166,États-Unis,James Cameron,"Sam Worthington,Zoe Saldaña,Sigourney Weaver,Stephen Lang,Michelle Rodriguez,Giovanni Ribisi,Joel David Moore,CCH Pounder,Wes Studi,Laz Alonso,Dileep Rao,Matt Gerald,Sean Anthony Moran,Jason Whyte,Scott Lawrence,Kelly Kilgour,James Patrick Pitt,Sean Patrick Murphy,Peter Dillon,Kevin Dorman,Kelson Henderson,David Van Horn,Jacob Tomuri,Michael Blain-Rozgay,Jon Curry,Julene Renee,Luke Hawker,Woody Schultz,Peter Mensah,Sonia Yee,Jahnel Curfman,Ilram Choi,Kyla Warren,Alicia Vela-Bailey,Kyle Dryberg,Larry Rew,Dina Morrone","Action,Aventure,Fantastique,Science-Fiction",
2022-09-23,tt15445056,Athena,Athena,Netflix,Paris,,,****,,,2022,97,France,Romain Gavras,"Dali Benssalah,Anthony Bajon,Alexis Manenti,Ouassini Embarek,Sami Slimane,Radostina Rogliano,Karim Lasmi,Mehdi Abdelhakmi,Tarek Haddaji,Guy Donald Koukissa,Birane Ba,Sophie-Marie Larrouy","Drame,Action,Thriller",
2022-09-26,tt10731256,Don't Worry Darling,Don't Worry Darling,Cinéma Gaumont Convention,Paris,,,**,,,2022,123,États-Unis,Olivia Wilde,"Florence Pugh,Harry Styles,Chris Pine,Olivia Wilde,Gemma Chan,KiKi Layne,Nick Kroll,Kate Berlant,Timothy Simons,Asif Ali,Sydney Chandler,Douglas Smith,Ari'el Stachel,Dita Von Teese,Daisy Sudeikis,Marcello Julian Reyes,Steve Berg,Daniel Nishio,Monroe Cline,Nataly Santiago,Angel Mammoliti,Kurt Scholler,Dimitri Dimitrov,Natasha Kalimada,Charissa Kroeger,Alexandra Nicole Hulme,Bailey Swift,Jasmine Mason,Sisley Loubet,Toi'ya Leatherwood,Stephanie Kim,Victoria Acker,Taylor May Dean,Oritsetsolaye Akuya,Auriana Ehsani,Angel Inniss,Jennifer Marilela Bermeo,Michelle Ells,Brooke deRosa","Thriller,Mystère,Science-Fiction",X
2022-09-28,tt7322224,Sans filtre,Triangle of Sadness,Cinéma Gaumont Parnasse ,Paris,Julien ,,*,,,2022,149,Danemark,Ruben Östlund,"Harris Dickinson,Charlbi Dean,Zlatko Burić,Dolly de Leon,Vicki Berlin,Henrik Dorsin,Woody Harrelson,Iris Berben,Sunnyi Melles,Oliver Ford Davies,Jean-Christophe Folly,Amanda Walker,Hanna Oldenburg,Malte Gårdinger,Linda Anborg,Carolina Gynning,Arvin Kananian,Camilla Läckberg,Beata Borelius,Shaniaz Hama Ali,Ralph Schicha,Timoleon Gketsos,Chris Westerstrom,Nikolas Chalkiadakis,Alicia Eriksson,Mira Uszkureit,Thobias Thorwid,Amanda Schulman,Alex Schulman,Jiannis Moustos,Stefan Gödicke,Nana Manu,Mia Benson,Elisabeth Falk",Comédie,
2022-09-29,tt0075860,Rencontres du troisième type,Close Encounters of the Third Kind,Piratage,Paris,,X,****,,,1977,135,États-Unis,Steven Spielberg,"Richard Dreyfuss,François Truffaut,Teri Garr,Melinda Dillon,Bob Balaban,J. Patrick McNamara,Warren J. Kemmerling,Roberts Blossom,Phil Dodds,Cary Guffey,Shawn Bishop,Adrienne Campbell,Justin Dreyfuss,Lance Henriksen,Merrill Connally,Amy Douglass,Gene Dynarski,Carl Weathers,Norman Bartold,F.J. O'Neil,Hal Barwood,Matthew Robbins,Gene Rader,Daniel Nunez,Chuy Franco,Luis Contreras,Galen Thompson,John Dennis Johnston,Robert Broyles,Monty Jordan,Basil Hoffman,Stephen Powers,George DiCenzo,Alexander Lockwood,Josef Sommer,Bill Thurman,James Keane,J. Allen Hynek,Howard K. Smith,Philip Dodds,Mary Gafrey,Michael J. Dyer,Roger Ernest,Randy Hermann,David Anderson,Richard L. Hawkins,Craig Shreeve,Roy E. Richards,Eumenio Blanco,Dennis McMullen,Cy Young,Tom Howard,Richard Stuart,Bob Westmoreland,Matt Emery,John Ewing,Kirk Raymond,Keith Atkinson","Science-Fiction,Drame",
2022-09-30,tt6029778,Bathtubs over Broadway,Bathtubs Over Broadway,Cinéma Club de l'Étoile,Paris,Théo,,****,,Unknown Movies,2018,87,États-Unis,Dava Whisenant,"Steve Young,Martin Short,Florence Henderson,David Letterman,Chita Rivera,Sheldon Harnick,Susan Stroman,Jello Biafra,Willi Burke,Don Bolles,Hank Beebe,Sid Siegel,Peter Shawn,Melody Rogers","Documentaire,Comédie,Musique",X
2022-10-01,tt1655389,Blonde,Blonde,Netflix,Paris,,,**,,,2022,166,États-Unis,Andrew Dominik,"Ana de Armas,Adrien Brody,Bobby Cannavale,Sara Paxton,Lucy DeVito,Julianne Nicholson,Scoot McNairy,Xavier Samuel,Caspar Phillipson,Evan Williams,Rebecca Wisocky,Toby Huss,Catherine Dent,Haley Webb,Dan Butler,Tygh Runyan,David Warshofsky,Lily Fisher,Michael Masini,Chris Lemmon,Ned Bellamy,Sonny Valicenti,Tatum Shank,Andrew Thacher,Dominic Leeder,Skip Pipo,Ravil Isyanov,Tim Ransom,Rob Brownstein,Rob Nagle,Jeremy Shouldis,Ethan Cohn,Steve Bannos,Mike Ostroski,Christopher Kriesa,Eric Matheny,Scott Hislop,Dieterich Gray,Kiva Jump,Patrick Brennan,Chris Moss,Ryan Vincent,Vanessa Lemonides,Michael Drayer,Claudia Smith,Mary-Pat Green,Ron West,Flynn Pratt,Scott Wilder,Sal Landi,Seth Meriwether,Darrin M. Schlie,Julián Rebolledo,Allan Havey,Tereza Rizzardi,Mia McGovern Zaini,Garret Dillahunt",Drame,
2022-10-02,tt8093700,The Woman King,The Woman King,Cinéma Pathé Beaugrenelle,Paris,,,***,,,2022,135,États-Unis,Gina Prince-Bythewood,"Viola Davis,Thuso Mbedu,Lashana Lynch,John Boyega,Sheila Atim,Jordan Bolger,Hero Fiennes Tiffin,Jayme Lawson,Adrienne Warren,Angélique Kidjo,Masali Baduza,Jimmy Odukoya,Thando Dlomo,Tuks Tad Lungu,Makgotso M,Chioma Antoinette Umeala,Shaina West,Wanda Banda,Lethabo","Action,Drame,Histoire",X
2022-10-03,tt13640696,Coup de théâtre,See How They Run,Cinéma Gaumont Convention,Paris,,,**,,,2022,98,Royaume-Uni,Tom George,"Sam Rockwell,Saoirse Ronan,Adrien Brody,Ruth Wilson,Reece Shearsmith,Harris Dickinson,Charlie Cooper,Pippa Bennett-Warner,Pearl Chanda,Sian Clifford,Jacob Fortune-Lloyd,David Oyelowo,Shirley Henderson,Paul Chahidi,Lucian Msamati,Angus Wright,Tim Key,Gregory Cox,Maggie McCarthy,Ania Marson,Philip Desmeules,Laura Morgan,Tolu Ogunmefun,Kieran Hodgson","Mystère,Thriller,Comédie",
2022-10-04,tt10701074,Ponniyin Selvan: Part I,பொன்னியின் செல்வன்: பாகம் 1,Cinéma Le Grand Rex,Paris,,,***,,,2022,167,Inde,Mani Ratnam,"Vikram,Aishwarya Rai Bachchan,Karthi,Jayam Ravi,Trisha Krishnan,Jayaram,Aishwarya Lekshmi,Sobhita Dhulipala,Prakash Raj,R. Sarathkumar,R. Parthiban,Rahman,Prabhu,Vikram Prabhu,Jayachitra,Ashwin Kakumanu,Lal,Kishore,Riyaz Khan,Vinay Kumar Joseph,Babu Antony,Nizhalgal Ravi,Vinodhini Vaidyanathan,Mohan Raman,Shyam Fernando,Ashwin Rao Pallakki,Balaji Sakthivel,Yoge Jappie,Vidhya Subramanian,Arjun Chidambaram,Nimmy Raphael,Harris Moosa,Nassar,Sara Arjun,Santhosh,Master Raghavan,Gopi Kannadasan,Amzath Khan,Bharat Raj,Kamal Haasan","Action,Drame,Familial",
2022-10-07,tt13729232,L'Origine du mal,L'Origine du mal,Cinéma Gaumont Parnasse,Paris,,,****,,,2022,125,France,Sébastien Marnier,"Laure Calamy,Doria Tillier,Jacques Weber,Dominique Blanc,Suzanne Clément,Véronique Ruggia Saura,Céleste Brunnquell,Naidra Ayadi,Clotilde Mollet","Thriller,Drame",
2022-10-09,tt0078723,1941,1941,Piratage,Paris,,,**,,,1979,146,États-Unis,Steven Spielberg,"Dan Aykroyd,Ned Beatty,John Belushi,Lorraine Gary,Murray Hamilton,Christopher Lee,Tim Matheson,Toshirō Mifune,Warren Oates,Robert Stack,Treat Williams,Nancy Allen,Lucille Benson,Jordan Brian,John Candy,Elisha Cook Jr.,Eddie Deezen,Bobby Di Cicco,Dianne Kay,Perry Lang,Patti LuPone,J. Patrick McNamara,Frank McRae,Steven Mond,Slim Pickens,Wendie Jo Sperber,Lionel Stander,Dub Taylor,Iggie Wolfington,Christian Zika,Joe Flaherty,David L. Lander,Michael McKean,Susan Backlinie,E. Hampton Beagle,Deborah Benson,Don Calfa,Dave Cameron,Vito Carenzo,Mark Carlton,Gary Carlos Cervantes,Paul Cloud,Luis Contreras,Carol Culver,Lucinda Dooling,Gray Frederickson,Brian Frishman,Samuel Fuller,Marjorie Gaines,Dian Gallup,Denise Gallup,Trish Garland,Barbara Gannen,Brad Gorman,Jerry Hardin,Diane Hardin,Robert Houston,Audrey Landers,John Landis,Mark Marias,John McKee,Ronnie McMillan,Dan McNally,Dick Miller,Akio Mitamura,Antoinette Molinari,Walter Olkewicz,Mickey Rourke,Whitney Rydbeck,Donovan Scott,Kerry Sherman,Hiroshi Shimizu,Geno Silva,Rita Taggart,Maureen Teefy,Andy Tennant,Jack Thibeau,Galen Thompson,Frankie Verroca,John Voldstad,Carol Ann Williams,Jenny Williams,James Caan,Penny Marshall","Action,Comédie,Guerre",
2022-10-10,tt10954984,Nope,Nope,Cinéma mk2 Bibliothèque ,Paris,,X,****,,,2022,130,États-Unis,Jordan Peele,"Daniel Kaluuya,Keke Palmer,Brandon Perea,Steven Yeun,Michael Wincott,Wrenn Schmidt,Barbie Ferreira,Terry Notary,Devon Graye,Donna Mills,Oz Perkins,Eddie Jemison,Keith David,Jacob Kim,Sophia Coto,Jennifer Lafleur,Andrew Patrick Ralston,Lincoln Lambert,Pierce Kang,Roman Gross,Ryan W. Garcia,Conor Kawalski,Alex Hyde-White,Evan Shafran,Mark Casimir Dyniewicz Jr.,Hetty Chang,Liza Treyger,Courtney Stephens,Caden J. Lovgren,Malcolm Jae O'Shea","Horreur,Mystère,Science-Fiction,Thriller",
2022-10-12,tt6892462,Le Monde est à toi,Le Monde est à toi,Netflix,Paris,,,***,,,2018,100,France,Romain Gavras,"Karim Leklou,Isabelle Adjani,Vincent Cassel,Oulaya Amamra,François Damiens,Philippe Katerine,Sam Spruell,Gabby Rose,Sofian Khammes,Mounir Amamra,Boris Gamthety,Ousmane Ly,Ladj Ly,Michael Treanor,Norbert Ferrer,Marie Coulonjou,Meriem Serbah,Audrey Langle,Farida Ouchani,Alexis Manenti,Mohamed Lemine,Miles Kane,Doris Pelissier,Jonas Dinal,John Landis,Deborah Landis","Comédie,Crime",
2022-10-13,tt19841734,L’Innocent,L’Innocent,Cinéma Gaumont Convention,Paris,,,****,,,2022,99,France,Louis Garrel,"Roschdy Zem,Louis Garrel,Anouk Grinberg,Noémie Merlant,Souleymane Touré,Jean-Claude Pautot,Yanisse Kebbab,Florent Masarin,Manda Touré,Léa Wiazemsky","Drame,Romance,Comédie",
2022-10-13,tt15318872,Werewolf by Night,Werewolf by Night,Piratage,Paris,,,**,,,2022,54,États-Unis,Michael Giacchino,"Gael García Bernal,Laura Donnelly,Harriet Sansom Harris,Kirk R. Thatcher,Eugenie Bondurant,Leonardo Nam,Daniel J. Watts,Al Hamacher,Carey Jones,David Silverman,Rick D. Wasserman,Richard Dixon,Jeffrey Ford,Erik Beck","Action,Fantastique,Horreur,Téléfilm",
2022-10-15,tt10290244,Le Petit Nicolas - Qu’est-ce qu’on attend pour être heureux ?,Le Petit Nicolas - Qu’est-ce qu’on attend pour être heureux ?,Cinéma Gaumont Convention,Paris,,,****,,,2022,82,France,"Benjamin Massoubre,Amandine Fredon","Alain Chabat,Laurent Lafitte,Simon Faliu","Animation,Familial",X
2022-10-16,tt0077869,Le Seigneur des anneaux,The Lord of the Rings,Cinéma Club de l'Étoile,Paris,,,***,,,1978,132,États-Unis,Ralph Bakshi,"Christopher Guard,William Squire,Michael Scholes,John Hurt,Simon Chandler,Dominic Guard,Norman Bird,Michael Graham Cox,Anthony Daniels,David Buck,Peter Woodthorpe,Fraser Kerr,Philip Stone,André Morell,Alan Tilvern,Annette Crosbie,Michael Deacon,John Westbrook,Billy Barty,Jerry Maren,Chuck Hayward,Mic Rodgers,Mel Smith","Aventure,Animation,Fantastique",
2022-10-17,tt21249808,Jack Mimoun et les secrets de Val Verde,Jack Mimoun et les secrets de Val Verde,Cinéma Gaumont Parnasse,Paris,,,**,,,2022,102,France,"Malik Bentalha,Ludovic Colbeau-Justin","Malik Bentalha,Joséphine Japy,Jérôme Commandeur,François Damiens,Benoît Magimel,Amir Llyas,Christopher Gerber,Xavier d'Anjou,Bastien Puttati,Eddy Leduc,Clément Barc,Niels Dubost,Antoine Bordes,Antoine Bordes,Alexandra Merle,Samantha Livet,Mourad Winter","Comédie,Aventure",
2022-10-18,tt0082971,Les Aventuriers de l'arche perdue,Raiders of the Lost Ark,Piratage,Paris,,X,*****,,,1981,115,États-Unis,Steven Spielberg,"Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,Ronald Lacey,Wolf Kahler,Anthony Higgins,Denholm Elliott,Alfred Molina,Vic Tablian,Don Fellows,William Hootkins,George Harris,Fred Sorenson,Anthony Chinn,Eddie Tagoe,Bill Reimbold,Patrick Durkin,Matthew Scurfield,Malcolm Weaver,Sonny Caldinez,Pat Roach,Christopher Frederick,Tutte Lemkow,Ishaq Bux,Kiran Shah,Souad Messaoudi,Terry Richards,Steve Hanson,Frank Marshall,Martin Kreidt,John Rees,Tony Vogel,Ted Grossman,Vic Armstrong,Peter Diamond,Nick Gillard,Romo Gorrara,Rick Lester,Rocky Taylor,Reg Harding,Harry Fielder,Billy Horrigan,Terry Leonard,Sergio Mione,Dennis Muren,Glenn Randall Jr.,Michael Sheard,Frank Welker","Aventure,Action",
2022-10-19,tt1488589,Pinocchio par Guillermo del Toro,Guillermo del Toro's Pinocchio,Cinéma Écoles,Paris,Théo,,****,,,2022,90,États-Unis,Guillermo del Toro,"Gregory Mann,David Bradley,Ewan McGregor,Christoph Waltz,Tilda Swinton,Cate Blanchett,Ron Perlman,Finn Wolfhard,Tim Blake Nelson,John Turturro,Burn Gorman","Animation,Fantastique,Drame,Familial",
2022-10-20,tt9660502,Close,Close,Cinéma Silencio des Prés,Paris,Léo,,***,,,2022,105,Belgique,Lukas Dhont,"Eden Dambrine,Gustav De Waele,Émilie Dequenne,Léa Drucker,Kevin Janssens,Igor van Dessel,Marc Weiss,Léon Bataille,Elodie Barthels",Drame,
2022-10-23,tt14542254,Novembre,Novembre,Cinéma Gaumont Convention,Paris,,,***,,,2022,100,France,Cédric Jimenez,"Jean Dujardin,Sandrine Kiberlain,Jérémie Renier,Anaïs Demoustier,Lyna Khoudri,Sami Outalbali,Stéphane Bak,Sofian Khammes,Raphaël Quenard,Sarah Afchain,Cédric Kahn,Annabelle Lengronne,Sophie Cattani,Jérémy Lopez,Quentin Faure,Victoire Du Bois","Drame,Crime,Thriller",
2022-10-24,tt9731598,Bros,Bros,Cinéma mk2 Bibliothèque ,Paris,,,***,,,2022,115,États-Unis,Nicholas Stoller,"Billy Eichner,Luke Macfarlane,Guy Branum,Miss Lawrence,Ts Madison,Dot-Marie Jones,Jim Rash,Eve Lindley,Monica Raymund,Guillermo Díaz,Jai Rodriguez,Amanda Bearse,Debra Messing,Peter Y. Kim,Justin Covington,Symone,Ryan Faucett,Becca Blackwell,D'Lo,Bowen Yang,Harvey Fierstein,Brock Ciarlelli,Kristin Chenoweth,Matthew Wilkas,Dahlia Rodriguez,Derrick Delgado,George Dvorsky,Jamyl Dobson,Ben Stiller,Kenan Thompson,Amy Schumer,Seth Meyers,Jillian Gottlieb,Rick Crom,Everett Quinton,Anthony DeVito,Alex Ringler","Comédie,Romance",
2022-10-25,tt0028358,La Vie future,Things to Come,Cinéma Les Cinéastes ,Paris ,,,****,,,1936,91,Royaume-Uni,William Cameron Menzies,"Raymond Massey,Edward Chapman,Ralph Richardson,Margaretta Scott,Cedric Hardwicke,Maurice Braddell,Sophie Stewart,Derrick De Marney,Ann Todd,Pearl Argyle,Kenneth Villiers,Ivan Brandt,Anne McLaren,Patricia Hilliard,Charles Carson,Patrick Barr,Noel Brophy,John Clements,Anthony Holles,Allan Jeayes,Pickles Livingston,George Sanders,Abraham Sofaer,Terry-Thomas","Drame,Science-Fiction",
2022-10-29,tt0070047,L'Exorciste,The Exorcist,Cinéma Pathé Les Fauvettes,Paris ,,,****,,,1973,133,États-Unis,William Friedkin,"Ellen Burstyn,Linda Blair,Jason Miller,Max von Sydow,Lee J. Cobb,Kitty Winn,Jack MacGowran,William O'Malley,Barton Heyman,Peter Masterson,Rudolf Schündler,Gina Petrushka,Robert Symonds,Arthur Storch,Thomas Bermingham,Vasiliki Maliaros,Titos Vandis,John Mahon,Wallace Rooney,Ron Faber,Donna Mitchell,Roy Cooper,Robert Gerringer,Mercedes McCambridge,Paul Bateson,Elinore Blair,William Peter Blatty,Mary Boylan,Dick Callinan,Mason Curry,Toni Darnay,Eileen Dietz,Joanne Dusseau,Bernard Eismann,Beatrice Hunter,Yvonne Jones,Don LaBonte,Barton Lane,Ann Miles,John Nicola,Vincent Russell,Gerard F. Yates",Horreur,
2022-10-29,tt15791034,Barbare,Barbarian,Piratage,Paris ,,,****,,,2022,103,États-Unis,Zach Cregger,"Georgina Campbell,Bill Skarsgård,Justin Long,Matthew Patrick Davis,Richard Brake,Kurt Braunohler,Jaymes Butler,Sophie Sörensen,Rachel Fowler,J.R. Esposito,Kate Nichols,Kate Bosworth,Brooke Dillman,Sara Paxton,Will Greenberg,Derek Morse,Trevor Van Uden,Zach Cregger,Devina Vassileva,Kalina Stancheva,Julian Stanishkov","Horreur,Thriller",
2022-10-30,tt15012246,Bowling Saturne,Bowling Saturne,Cinéma Gaumont Convention,Paris ,,,**,,,2022,114,France,Patricia Mazuy,"Arieh Worthalter,Achille Reggiani,Leila Muse,Lou Gala,Jan-Lukas K.,Y Lan Lucas,Olivier Faliez,Frédéric van den Driessche,Elisa Hartel,Emmanuel Matte,Nicolas Lepy,Frédérique Renda,Denis Ardant,Anne-Lise Heimburger,David Jonquieres,Barnaby Apps,Stéphane Chancerel,Vinciane Millereau,Heidi Varin,Sonia Mateos,Gabrielle Chabot,Anne Leblanc,Adèle Eschbach,Sibylle Piedagnel,Lauretta Treffeu,Léa Luce Busato,Joséphine Bault,Ludivine Scelles,Bruno Rodet,Pascal Peschet,Lilian Lebarbey,Alain Worthalter,François Monier,Christian Lecrosnier,Samuel Lecornu,Bertrand Le Duff,Jérémy Gouret,Gilles Goubin,Jean-Michel Blondel,Camille Saint-Martin,William Rouet,David Cornet","Thriller,Drame",X
2022-10-30,tt0086491,"La Quatrième Dimension, le film",Twilight Zone: The Movie,Piratage,Paris ,,,***,,,1983,101,États-Unis,"Steven Spielberg,Joe Dante,John Landis,George Miller","Dan Aykroyd,Albert Brooks,Scatman Crothers,John Lithgow,Vic Morrow,Kathleen Quinlan,Charles Hallahan,Doug McGrath,Murray Matheson,Bill Quinn,Helen Shaw,Selma Diamond,Peter Brocco,Martin Garner,Priscilla Pointer,Tanya Fenmore,Laura Mooney,Evan Richards,Christopher Eisenmann,Scott Nemes,Kevin McCarthy,Jeremy Licht,William Schallert,Nancy Cartwright,Patricia Barry,Dick Miller,Bill Mumy,Jeffrey Bannister,Abbe Lane,John Dennis Johnston,Donna Dixon,Charles Knapp,Christina Nigra,Larry Cedar,Eduard Franz,Margaret Wheeler,Jeffrey Weissman,Margaret Fitzgerald,Rainer Peets,Kai Wulff,Sue Dugan,Debby Porter,Steven Williams,Annette Claudier,Joseph Hieu,Al Leong,Stephen Bishop,Thomas Byrd,Vincent J. Isaac,Bill Taylor,Domingo Ambriz,Eddy Donno,Michael Milgrom,John Larroquette,Norbert Weisser,Richard Swingler,Alan Haufrect,Cheryl Socher,Elsa Raven,Cherie Currie,Lana Schwab,Jeffrey Lampert,Frank Toth,Carol Serling,Byron McFarland,Burgess Meredith,Rod Serling,Alan Bendich,Brian Hemenway,Carol Vogel,Tom Willett","Horreur,Science-Fiction",
2022-10-31,tt5181830,Wendell et Wild,Wendell & Wild,Netflix,Paris ,,,****,,,2022,107,États-Unis,Henry Selick,"Keegan-Michael Key,Jordan Peele,Angela Bassett,Lyric Ross,Ving Rhames,Gabrielle Dennis,Gary Gatewood,Tamara Smart,Natalie Martinez,Ramona Young,James Hong,Sam Zelaya,Maxine Peake,David Harewood,Igal Naor,Tantoo Cardinal,Serelle Strickland,Seema Virdi,Michele Mariana,Phoebe Lamont,Joseph Tran,Nick E. Tarabay,Carolyn Crawford,Mandy Hutchings,Samantha Fawaz","Animation,Comédie,Fantastique,Aventure",
2022-10-31,tt12788488,Deadstream,Deadstream,Shadowz,Paris ,,,***,,,2022,87,États-Unis,"Joseph Winter,Vanessa Winter","Joseph Winter,Melanie Stone,Jason K. Wixom,Pat Barnett Carr,Marty Collins,Perla Lacayo","Horreur,Comédie",X
2022-11-01,tt13361648,Le nouveau jouet,Le nouveau jouet,Cinéma Pathé Alésia,Paris ,,,**,,,2022,112,France,James Huth,"Daniel Auteuil,Jamel Debbouze,Alice Belaïdi,Simon Faliu,Lucie Fabry,Anna Cervinka,Laurent Saint-Gérard,Salim Kissari,Lucia Sanchez,Dorylia Calmel,Atmen Kelif,Redouanne Harjane,Gilles Cohen,Mahdi Alaoui,Selim Karrouchi,Harmonie Temmam,Wabinlé Nabié,Jason Mvembo Lemena,Moos Bela,Guillaume Bursztyn,Nicky Marbot,Milan Finda Na Ntama,Mi Kwan Lock,Guy Mansfield,Hervé Falloux,Hervé Falloux,Laurent Bozzi,Sylvie Lachat,Lionel Rosso,Cécile Belin,Marie-Pierre Bellefleur,Marie Odile Hebrard,Frédéric Conné,Pierre Benoist,Fabrice Boussiquot,Marlise Ngadem Bete,Kays Tabti,Ryad Lajiri,Jeanne Bournaud,Fred Pinel,Yacine Fillali,Karim Kaddouri,André Długosz,Théo Chir,Naophel Diakanua,Mama Tandia,Garba Tounkara,Adama Bathily,Yann Steeven Boudzoumou,Hichem Lamriq,Christian Souchon,Fatima Debbouze",Comédie,
2022-11-01,tt15452062,La Conspiration du Caire,صبي من الجنة,Cinéma Gaumont Convention,Paris ,,,****,,,2022,125,Suède,Tarik Saleh,"Tawfeek Barhom,Fares Fares,Mohammad Bakri,Makram J. Khoury,Mehdi Dehbi,Younes Medhat,Yunus Albayrak,Sherwan Haji,Amr Mosad,Hassan El Sayed,Zain Alabdin A. Fallatah,Youssef Salama Zeki,Ahmed Laissaoui,Mouloud Ayad,Ayman Fathy,Okan Bozkuş,Moe Ayoub,Ramzi Choukair,Jalal Altawil","Drame,Thriller",
2022-11-02,tt18260116,"Le Pharaon, le Sauvage et la Princesse","Le Pharaon, le Sauvage et la Princesse",Cinéma Gaumont Convention,Paris ,,,***,,,2022,82,France,Michel Ocelot,"Oscar Lesage,Claire de la Rüe du Can,Aïssa Maïga,Serge Bagdassarian,Didier Sandre,Annie Mercier",Animation,
2022-11-02,tt14534796,Mascarade,Mascarade,Cinéma Gaumont Convention,Paris ,,,***,,,2022,142,France,Nicolas Bedos,"Isabelle Adjani,François Cluzet,James Wilby,Marine Vacth,Pierre Niney,Emmanuelle Devos,Laura Morante,Charles Berling,Nicolas Briançon,Christiane Millet,Ludovic Coutaud,Yann Lerat,Franck Neckebrock,Radostina Rogliano,Amini Cishugi,Philippe Enquin,Sophie Hardy,Zoé Fauconnet,Albert Goldberg,Geoffroy Boutan,Ary Gabison,Catherine Chevallier,Charlie Nelson,Daniel Hanssens,Ava Quentin Dekic,Magali Bonat,Xavier Thiam,Arturo Giusi,Marie Zabukovec,Philippe Uchan,Bruno Raffaelli,Eric Marcel,Elie Kaempfen,Louise Ribiere","Comédie,Romance,Crime",
2022-11-02,tt13560574,X,X,Cinéma Pathé Wepler,Paris ,,,****,,,2022,105,États-Unis,Ti West,"Mia Goth,Jenna Ortega,Brittany Snow,Kid Cudi,Martin Henderson,Owen Campbell,Stephen Ure,James Gaylyn,Simon Prast,Geoff Dolan,Matthew J. Saville,Bryony Skillington","Horreur,Mystère,Thriller",
2022-11-03,tt6443346,Black Adam,Black Adam,Cinéma Pathé Beaugrenelle,Paris ,,,**,,,2022,125,États-Unis,Jaume Collet-Serra,"Dwayne Johnson,Aldis Hodge,Noah Centineo,Sarah Shahi,Quintessa Swindell,Marwan Kenzari,Mo Amer,Bodhi Sabongui,Pierce Brosnan,James Cusati-Moyer,Jalon Christian,Benjamin Patterson,Odelya Halevi,Uli Latukefu,Jennifer Holland,Henry Winkler,Chaim Jeraffi,Sharon Gee,Stephan Jones,A. Manuel Miranda,Djimon Hounsou,Raj Kala,E. Lloyd Napier,Kiara Rashawn,Onye Eme-Akwari,Sanna Erica,Vince Canlas,Tonea Stewart,Meghna Nagarajan,Patrick Sabongui,Alex Parkinson,Joseph Gatt,Kamen Casey,Dennis Dawson,Mike Senior,Jermaine Rivers,Regina Ting Chen,Sekou Laidlow,Cameron Moir,Donny Carrington,Boone Platt,Philip Fornah,Derek Russo,Angel Rosario Jr.,Tang Nguyen,Christopher Matthew Cook,Natasha Ellie,Daniel Danca,Yssa Mei Panganiban,Ben Jenkin,Viola Davis,Henry Cavill","Action,Fantastique,Science-Fiction",
